Token	Normalized word	Stemmed word	
مفتوحا	مفتوحا	مفتوحا	
بدون	بدون	بد	
حواجز	حواجز	حواجز	
وقيود	وقيود	قيود	
جمركية	جمركيه	جمرك	
معقدة	معقده	معقد	
فان	فان	فان	
تهيئة	تهيئه	تهيئ	
حياتنا	حياتنا	حيا	
العامة	العامه	عام	
والخاصة	والخاصه	خاص	
للمستقبل	للمستقبل	مستقبل	
الحيطة	الحيطه	حيط	
والحذر	والحذر	حذر	
جانب	جانب	جانب	
آخر	اخر	اخر	
تهيئة	تهيئه	تهيئ	
المناخ	المناخ	مناخ	
الاستثماري	الاستثماري	استثمار	
واعطاء	واعطاء	اعطاء	
الحوافز	الحوافز	حوافز	
الاستثمارية	الاستثماريه	استثمار	
احدى	احدي	احد	
اهم	اهم	اهم	
الركائز	الركائز	ركائز	
الاساسية	الاساسيه	اساس	
لجذب	لجذب	لجذب	
الاستثمار	الاستثمار	استثمار	
المحلي	المحلي	محل	
والاجنبي	والاجنبي	اجنب	
وضمان	وضمان	ضم	
استمرارية	استمراريه	استمرار	
منشآتنا	منشاتنا	منشا	
الاقتصادية	الاقتصاديه	اقتصاد	
واهم	واهم	اهم	
تشجيع	تشجيع	تشجيع	
ودعم	ودعم	دعم	
القطاع	القطاع	قطاع	
الخاص	الخاص	خاص	
العماني	العماني	عمان	
للنهوض	للنهوض	نهوض	
والارتقاء	والارتقاء	ارتقاء	
بمستوى	بمستوي	بمستو	
ادائه.	ادائه	ادائ	
واضاف	واضاف	اضاف	
رئيس	رئيس	رئيس	
لجنة	لجنه	لجن	
فرع	فرع	فرع	
الغرفة	الغرفه	غرف	
بصحار	بصحار	بصحار	
في	في	في	
كلمته:	كلمته	كلمت	
ان	ان	ان	
لوزارة	لوزاره	لوزار	
القوى	القوي	قو	
العاملة	العامله	عامل	
الدور	الدور	دور	
الكبير	الكبير	كبير	
في	في	في	
دعم	دعم	دعم	
القطاع	القطاع	قطاع	
الخاص	الخاص	خاص	
بإعطاء	باعطاء	باعطاء	
التراخيص	التراخيص	تراخيص	
وجلب	وجلب	جلب	
العمال	العمال	عمال	
الوافدين	الوافدين	وافد	
يحتاجها	يحتاجها	يحتاج	
القطاع	القطاع	قطاع	
وتدريب	وتدريب	تدريب	
وتأهيل	وتاهيل	تاهيل	
الايدي	الايدي	ايد	
العاملة	العامله	عامل	
الوطنية	الوطنيه	وطن	
والعمل	والعمل	عمل	
رعاية	رعايه	رعا	
مصالح	مصالح	مصالح	
القطاع	القطاع	قطاع	
والعاملين	والعاملين	عامل	
فيه.	فيه	في	
اللفتة	اللفته	لفت	
السامية	الساميه	سام	
لانشاء	لانشاء	لانشاء	
مشروع	مشروع	مشروع	
سند	سند	سند	
لفتة	لفته	لفت	
اقتصادية	اقتصاديه	اقتصاد	
رافدة	رافده	رافد	
للاقتصاد	للاقتصاد	اقتصاد	
العماني	العماني	عمان	
ونأمل	ونامل	نامل	
ان	ان	ان	
يتكلل	يتكلل	يتكلل	
سعي	سعي	سع	
وزارة	وزاره	زار	
القوى	القوي	قو	
العاملة	العامله	عامل	
بتكاتف	بتكاتف	بتكاتف	
الجميع	الجميع	جميع	
تحقيق	تحقيق	تحقيق	
الهدف	الهدف	هدف	
المنشود	المنشود	منشود	
رسمه	رسمه	رسم	
جلالة	جلاله	جلال	
السلطان	السلطان	سلط	
المعظم	المعظم	معظم	
يحفظه	يحفظه	يحفظ	
الله	الله	له	
نأمل	نامل	نامل	
جولتكم	جولتكم	جولتكم	
في	في	في	
مناطق	مناطق	مناطق	
السلطنة	السلطنه	سلطن	
الوقوف	الوقوف	وقوف	
اهم	اهم	اهم	
يعترض	يعترض	يعترض	
القطاع	القطاع	قطاع	
الخاص	الخاص	خاص	
معوقات	معوقات	معوق	
وتذليلها	وتذليلها	تذليل	
الزيارة	الزياره	زيار	
لتحقيق	لتحقيق	لتحقيق	
هذا	هذا	هذا	
الهدف	الهدف	هدف	
السامي	السامي	سام	
توليه	توليه	تول	
وزارة	وزاره	زار	
القوى	القوي	قو	
العاملة	العامله	عامل	
جل	جل	جل	
الاهتمام	الاهتمام	اهتمام	
والرعاية	والرعايه	رعا	
كما	كما	كما	
ويجسد	ويجسد	يجسد	
روح	روح	روح	
التفاهم	التفاهم	تفاهم	
المشترك	المشترك	مشترك	
الوزارة	الوزاره	وزار	
ورجال	ورجال	رجال	
الاعمال.	الاعمال	اعمال	
كما	كما	كما	
القى	القي	قي	
معالي	معالي	معال	
جمعة	جمعه	جمع	
بن	بن	بن	
آل	ال	ال	
جمعة	جمعه	جمع	
وزير	وزير	زير	
القوى	القوي	قو	
العاملة	العامله	عامل	
كلمة	كلمه	كلم	
مختصرة	مختصره	مختصر	
اكد	اكد	اكد	
الجهود	الجهود	جهود	
تبذلها	تبذلها	تبذل	
وزارة	وزاره	زار	
القوى	القوي	قو	
العاملة	العامله	عامل	
لخدمة	لخدمه	لخدم	
المواطن	المواطن	مواطن	
والدور	والدور	دور	
تقوم	تقوم	تقوم	
المديريات	المديريات	مدير	
الاقليمية	الاقليميه	اقليم	
التابعة	التابعه	تابع	
لها.	لها	لها	
كما	كما	كما	
أكد	اكد	اكد	
على	علي	عل	
اهمية	اهميه	اهم	
لقائه	لقائه	لقائ	
برجال	برجال	برجال	
الاعمال	الاعمال	اعمال	
في	في	في	
منطقة	منطقه	منطق	
الباطنة	الباطنه	باطن	
كونها	كونها	كون	
تعتبر	تعتبر	تعتبر	
المناطق	المناطق	مناطق	
المهمة	المهمه	مهم	
في	في	في	
السلطنة	السلطنه	سلطن	
الموقع	الموقع	موقع	
والمشاريع	والمشاريع	مشاريع	
الاقتصادية	الاقتصاديه	اقتصاد	
المقبلة	المقبله	مقبل	
وقال	وقال	قال	
معاليه:	معاليه	معال	
ان	ان	ان	
هذا	هذا	هذا	
اللقاء	اللقاء	لقاء	
يعتبر	يعتبر	يعتبر	
رافدا	رافدا	رافدا	
للمصلحة	للمصلحه	مصلح	
العامة	العامه	عام	
ومصلحة	ومصلحه	مصلح	
الاقتصاد	الاقتصاد	اقتصاد	
الوطني	الوطني	وطن	
ومصلحة	ومصلحه	مصلح	
رجال	رجال	رجال	
الاعمال	الاعمال	اعمال	
ان	ان	ان	
السلطنة	السلطنه	سلطن	
انتهجت	انتهجت	انتهجت	
بداية	بدايه	بدا	
عصر	عصر	عصر	
النهضة	النهضه	نهض	
مبدأ	مبدا	مبدا	
الاقتصاد	الاقتصاد	اقتصاد	
الحر	الحر	حر	
وبالتالي	وبالتالي	بالتال	
عندما	عندما	عندما	
جاءت	جاءت	جاءت	
التغييرات	التغييرات	تغيير	
العالمية	العالميه	عالم	
هذا	هذا	هذا	
الجانب	الجانب	جانب	
نحمد	نحمد	نحمد	
الله	الله	له	
كنا	كنا	كنا	
على	علي	عل	
استعداد	استعداد	استعداد	
لاستقبال	لاستقبال	لاستقبال	
المتغيرات	المتغيرات	متغير	
ونتيجة	ونتيجه	نتيج	
عدم	عدم	عدم	
الانغلاق	الانغلاق	انغلاق	
فان	فان	فان	
عصر	عصر	عصر	
العولمة	العولمه	عولم	
تأثيره	تاثيره	تاثير	
على	علي	عل	
الاقتصاديات	الاقتصاديات	اقتصاد	
الاقليمية	الاقليميه	اقليم	
والمحلية	والمحليه	محل	
يتأثر	يتاثر	يتاثر	
سلبا	سلبا	سلبا	
بدرجة	بدرجه	بدرج	
كبيرة	كبيره	كبير	
علينا	علينا	علينا	
يجب	يجب	يجب	
ان	ان	ان	
علينا	علينا	علينا	
تقبل	تقبل	تقبل	
اثار	اثار	اثار	
انضمام	انضمام	انضمام	
السلطنة	السلطنه	سلطن	
الى	الي	ال	
منظمة	منظمه	منظم	
التجارة	التجاره	تجار	
العالمية	العالميه	عالم	
الاتحاد	الاتحاد	اتحاد	
الجمركي	الجمركي	جمرك	
الخليجي	الخليجي	خليج	
وانا	وانا	انا	
أؤكد	اؤكد	اؤكد	
ان	ان	ان	
اقتصاديات	اقتصاديات	اقتصاد	
السلطنة	السلطنه	سلطن	
وجهود	وجهود	جهود	
رجال	رجال	رجال	
الاعمال	الاعمال	اعمال	
القابلية	القابليه	قابل	
المتاحة	المتاحه	متاح	
للدخول	للدخول	دخول	
يسر	يسر	يسر	
بإذن	باذن	باذن	
الله	الله	له	
تعالى	تعالي	تعال	
كما	كما	كما	
ان	ان	ان	
الحكومة	الحكومه	حكوم	
بداية	بدايه	بدا	
عصر	عصر	عصر	
النهضة	النهضه	نهض	
اهتمامها	اهتمامها	اهتمام	
عاليا	عاليا	عاليا	
بالقطاع	بالقطاع	قطاع	
الخاص	الخاص	خاص	
وخير	وخير	خير	
دليل	دليل	دليل	
على	علي	عل	
انشاء	انشاء	انشاء	
غرفة	غرفه	غرف	
تجارة	تجاره	تجار	
وصناعة	وصناعه	صناع	
عمان	عمان	عم	
في	في	في	
اوائل	اوائل	اوائل	
السبعينيات	السبعينيات	سبعين	
ان	ان	ان	
يعطي	يعطي	يعط	
الصورة	الصوره	صور	
الصحيحة	الصحيحه	صحيح	
والواضحة	والواضحه	واضح	
على	علي	عل	
مدى	مدي	مد	
اهتمام	اهتمام	اهتمام	
الحكومة	الحكومه	حكوم	
واهتمام	واهتمام	اهتمام	
جلالته	جلالته	جلالت	
يحفظه	يحفظه	يحفظ	
الله	الله	له	
ويرعاه	ويرعاه	يرعا	
في	في	في	
المقام	المقام	مقام	
الاول	الاول	اول	
بالقطاع	بالقطاع	قطاع	
الخاص.	الخاص	خاص	
ذلك	ذلك	ذلك	
بدأت	بدات	بد	
المناقشات	المناقشات	مناقش	
العامة	العامه	عام	
وطرح	وطرح	طرح	
الاسئلة	الاسئله	اسئل	
المسؤولين	المسؤولين	مسؤول	
ورجال	ورجال	رجال	
الاعمال	الاعمال	اعمال	
في	في	في	
منطقة	منطقه	منطق	
الباطنة	الباطنه	باطن	
على	علي	عل	
معالي	معالي	معال	
وزير	وزير	زير	
القوى	القوي	قو	
العاملة	العامله	عامل	
بالرد	بالرد	رد	
برحابة	برحابه	برحاب	
الصدر	الصدر	صدر	
والتقبل	والتقبل	تقبل	
الاطروحات	الاطروحات	اطروح	
الاقتصادية	الاقتصاديه	اقتصاد	
والعمالية	والعماليه	عمال	
ابرز	ابرز	ابرز	
نقاط	نقاط	نقاط	
النقاش	النقاش	نقاش	
آلية	اليه	يه	
واجراءات	واجراءات	اجراء	
تنفيذ	تنفيذ	تنفيذ	
مشروع	مشروع	مشروع	
برنامج	برنامج	برنامج	
سند	سند	سند	
والاجراءات	والاجراءات	اجراء	
الاعتيادية	الاعتياديه	اعتياد	
في	في	في	
مكاتب	مكاتب	مكاتب	
القوى	القوي	قو	
العاملة	العامله	عامل	
وتنفيذ	وتنفيذ	تنفيذ	
آلية	اليه	يه	
التعمين	التعمين	تعم	
في	في	في	
القطاع	القطاع	قطاع	
الخاص	الخاص	خاص	
من	من	من	
المواضيع	المواضيع	مواضيع	
الاخرى	الاخري	اخر	
المتعلقة	المتعلقه	متعلق	
بالقطاع	بالقطاع	قطاع	
الخاص	الخاص	خاص	
والعاملين	والعاملين	عامل	
به.	به	به	
من	من	من	
جانب	جانب	جانب	
آخر	اخر	اخر	
امس	امس	امس	
معالي	معالي	معال	
جمعة	جمعه	جمع	
بن	بن	بن	
علي	علي	عل	
آل	ال	ال	
جمعة	جمعه	جمع	
وزير	وزير	زير	
القوى	القوي	قو	
العاملة	العامله	عامل	
بزيارة	بزياره	بزيار	
المديرية	المديريه	مدير	
العامة	العامه	عام	
للقوى	للقوي	قو	
العاملة	العامله	عامل	
بمنطقة	بمنطقه	بمنطق	
الباطنة	الباطنه	باطن	
اطلع	اطلع	اطلع	
معاليه	معاليه	معال	
على	علي	عل	
سير	سير	سير	
العمل	العمل	عمل	
بمكاتب	بمكاتب	بمكاتب	
المديرية	المديريه	مدير	
واستمع	واستمع	استمع	
الى	الي	ال	
شرح	شرح	شرح	
مفصل	مفصل	مفصل	
سير	سير	سير	
العمل	العمل	عمل	
المكاتب	المكاتب	مكاتب	
من	من	من	
خلال	خلال	خلال	
الدكتور	الدكتور	دكتور	
ناصر	ناصر	ناصر	
بن	بن	بن	
سيف	سيف	سيف	
الشامسي	الشامسي	شامس	
مدير	مدير	مدير	
عام	عام	عام	
القوى	القوي	قو	
العاملة	العامله	عامل	
بمنطقة	بمنطقه	بمنطق	
الباطنة.	الباطنه	باطن	
		
	
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
